timestamp,symbol,price,turnover24h,volume24h,open_interest,open_interest_value,funding_rate,price_change_15m,price_change_1h,oi_change_15m,oi_change_1h,oi_change_pct_15m,vol_oi_ratio,regime,score,label
1777623224528,AKEUSDT,0.0003232,2570302.8573,7853377300.0,5890642600.0,1899732.24,0.00026032,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,AKTUSDT,0.5144,1130272.7973,2199644.9,2062132.2,1062204.3,5e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ALCHUSDT,0.08211,1174370.0979,14366711.0,58158068.0,4779430.03,5e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ALGOUSDT,0.10921,4214036.0317,38587353.1,84307080.4,9214763.89,5.728e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ALICEUSDT,0.14897,939424.5583,6325779.8,7544895.6,1124943.93,0.0001,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ALLOUSDT,0.1196,1124445.5974,9298836.0,5460874.0,654212.71,5e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ALPINEUSDT,0.4566,38343.2995,84820.1,717721.8,328573.04,5e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ALTUSDT,0.007574,419975.7201,56142197.0,227049410.0,1720126.33,-0.00010236,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,AMZNUSDT,269.75,107746.9909,404.66,364.28,98231.74,0.0,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ANIMEUSDT,0.004741,229178.8491,48845278.0,345455442.0,1637804.25,-7.306e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,ANKRUSDT,0.004795,158332.4152,33271822.0,212218766.0,1017801.2,-0.00052367,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,APEUSDT,0.17386,52369400.4934,316783642.5,81229641.2,14132332.98,-0.00081093,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,APEXUSDT,0.2918,325210.5504,1124690.2,7423883.2,2167031.51,5e-05,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,API3USDT,0.3815,7640184.4532,19958890.1,8591458.5,3277641.42,-0.00070392,0,0,0,0,0.0,0.0,BULLISH,,
1777623224528,APRUSDT,0.17823,619121.9271,3652647.0,14106550.0,2509837.38,0.00268823,0,0,0,0,0.0,0.0,BULLISH,,
